registroans;cnpj;razaosocial;nomefantasia;modalidade;logradouro;numero;complemento;bairro;cidade;uf;cep;ddd;telefone;fax;enderecoeletronico;representante;cargorepresentante;dataregistroans
327867;1060000000000;DENTIÇÃO CONVÊNIOS ODONTOLÓGICOS LTDA;DENTALPREV;Odontologia de Grupo;RUA ELIZEU DI BERNARDI;34;SALA 411;CAMPINAS;São José;SC;88101050;4;73401303;73401303;financeirofloripa@dentalprev.com.br;CLAUDIO JOAO BUCCO;ADMINISTRADOR;1998-12-21
414425;3110000000000;DENTSY ODONTOLOGIA S/S LTDA.;DENTSY ODONTOLOGIA;Odontologia de Grupo;RUA CANDIDO PORTINARI;30;SALA 1;VILA CERCADO GRANDE;Embu das Artes;SP;6804180;11;32842180;;oscar@dentsy.com.br;OSCAR COELHO DE OLIVEIRA;SOCIO ADMINISTRADOR;2003-01-13
357669;20000000000000;DESBAN - FUNDAÇÃO BDMG DE SEGURIDADE SOCIAL;DESBAN;Autogestão;RUA BERNARDO GUIMARÃES;1587;8º ANDAR;FUNCIONÁRIOS;Belo Horizonte;MG;30140082;31;32498500;32498506;desban@desban.org.br;JULIANA RODRIGUES DE PAULA CHIARI;REPRESENTANTE LEGAL;1998-12-18
349682;1390000000000;DOCTOR CLIN OPERADORA DE PLANOS DE SAÚDE LTDA.;DOCTOR CLIN;Medicina de Grupo; Rua Sete de Setembro;769;;CENTRO HISTÓRICO;Porto Alegre;RS;90010190;51;32548000;35840320;contabilidade@doctorclin.com.br;MARCELO SANCHES DIETRICH;SÓCIO ADMINISTRADOR;1998-12-22
365645;30500000000000;DONA SAÚDE CLINICAS LTDA ;DONA SAÚDE.;Medicina de Grupo;PRAÇA VISCONDE DE MAUA;29;SALA 504;CENTRO;Santos;SP;11010000;21;25935425;38996196;administracao@donasaude.com;ROGÉRIO MARQUES SEVERINO;SOCIO;1998-12-21
419737;12000000000000;D1 ADMINISTRADORA DE BENEFÍCIOS PRIVADOS DE ASSISTÊNCIA A SAÚDE  COLETIVOS LTDA;;Administradora de Benefícios;RUA DOS CEDROS;501;SALA 03;JARDIM SãO PAULO;Americana;SP;13468020;19;34622553;;celso@solucaodinamica.com.br;CELSO RONALDO SOARES;SóCIO;2015-04-06
420778;14900000000000;E F SOBRINHO EIRELI - ME;PASSPORT SYSTEM;Odontologia de Grupo;Avenida Rio Branco ;2672;Sala A;Setor 05;Jaru;RO;76890000;69;35211342;;nhyll_odonto@hotmail.com;ELIAS FERNANDES SOBRINHO;Administrador;2017-01-18
418927;17300000000000;EASY SAUDE ADMINISTRADORA DE BENEFICIOS LTDA;;Administradora de Benefícios;AVENIDA JOÃO CABRAL DE MELO NETO;850;BLOCO 2, SALAS 722 E 723;BARRA DA TIJUCA;Rio de Janeiro;RJ;22775057;21;21235500;;gabriela@easysaude.com;AGENOR PITTA LIMA MEDEIROS;ADMINISTRADOR;2013-06-13
421120;27300000000000;EASYPLAN ADMINISTRADORA DE BENEFICIOS LTDA.;EASYPLAN ADMINISTRADORA;Administradora de Benefícios;SHCS - Setor de Habitações Coletivas Sul;Quadra 502;Bloco C, loja 37, parte 562;Asa Sul;Brasília;DF;70330530;61;41414700;;relacionamentoans@easyplan.com.br;ROSILANE DE ALMEIDA MORAES;SÓCIA-DIRETOR;2017-12-18
342611;49300000000000;ECONOMUS INSTITUTO DE SEGURIDADE SOCIAL;;Autogestão;RUA QUIRINO DE ANDRADE;185;;CENTRO;São Paulo;SP;1049902;11;34647892;;celuladeregulacao@economus.com.br;MAURÍCIO APARECIDO LOPES;DIRETOR DE SEGURIDADE;1998-12-21
417343;39200000000000;ECS ADMINISTRADORA DE BENEFICIOS LTDA;;Administradora de Benefícios;RUA BARãO DE MESQUITA;663;LOJA 20;TIJUCA;Rio de Janeiro;RJ;20540155;21;28413286;;ECS_A@YAHOO.COM;EDINOR CONCEIÇÃO SILVA;REPRESENTANTE;2010-06-23
422070;34800000000000;ELETROS SAÚDE - ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE;ELETROS-SAÚDE;Autogestão;RUA URUGUAIANA;174;SALA 501;CENTRO;Rio de Janeiro;RJ;20050900;21;21386000;;governanca@eletrossaude.com.br;ROGÉRIO CARLOS LAMIM BRAZ;Diretor Presidente;2019-12-11
418421;13100000000000;ELO ADMINISTRADORA DE BENEFÍCIOS LTDA;ELO ADMINISTRADORA;Administradora de Benefícios;SCN QUADRA 4 BLOCO B;S/N;SALA 604;ASA NORTE;Brasília;DF;70714020;61;32482001;32482001;juridico_regulatorio_3@qualicorp.com.br;ELTON HUGO CARLUCI;DIRETOR COMERCIAL;2012-02-24
421138;27900000000000;ELOS ADMINISTRADORA DE BENEFÍCIOS LTDA;ELOS ADMINISTRADORA DE BENEFÍCIOS;Administradora de Benefícios;AVENIDA HENRIQUE MOSCOSO;1019;SALAS 12 e 13 - ED. CENTRO DA VILA SHOPP;CENTRO;Vila Velha;ES;29100907;27;34411343;;financeiro@elosadministradora.com.br;LEONINA COUTINHO LUCAS ;Sócia Administradora;2017-11-27
417297;11600000000000;ELOSAÚDE - ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE;ELOSAÚDE;Autogestão;RUA ANITA GARIBALDI;77;EDIFÍCIO PIRÂMIDE - SALA 201;CENTRO;Florianópolis;SC;88010500;48;21077539;21077510;elosaude@elosaude.com.br;JOSÉ AUGUSTO SCHMIDT GARCIA;PRESIDENTE;2010-06-09
400891;352000000000;EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUÁRIA;INFRAERO;Autogestão;SCS QUADRA 3 BLOCO A/B Nº 17/18 ED. OSCA;17;;ASA SUL;Brasília;DF;70303000;61;3222;512;beneficio_sede@infraero.gov.br;GILVANDRO VASCONCELOS COELHO DE ARAÚJO;REPRESENTANTE LEGAL;1999-02-19
320587;33500000000000;EMPRESA BRASILEIRA DE TELECOMUNICAÇÕES S.A;EMPRESA BRASILEIRA DE TELECOMUNICAÇÕES;Autogestão;AV PRESIDENTE VARGAS;1012;3* ANDAR;CENTRO;Rio de Janeiro;RJ;20179900;;;;central.atendimento@planoamap.com.br;ALBERT CARVALHO JUNQUEIRA;Representante perante a ANS ;1999-01-05
395480;37100000000000;ESMALE ASSISTENCIA INTERNACIONAL DE SAUDE LTDA.;SMILE ;Medicina de Grupo;RUA DOUTOR JOSE MILTON CORREIA ;110;3, 4 e 5 ANDARES;POÇO;Maceió;AL;57025100;8;221237333;221237301;ans.matriz@smilesaude.com.br;FREDERICO VALENTE COELHO ;DIRETOR PRESIDENTE ;1998-12-16
422576;37400000000000;ESPLENDOR ADMINISTRADORA DE BENEFÍCIOS DE SAÚDE LTDA.;ESPLENDOR ADMINISTRADORA DE BENEFÍCIOS  ;Administradora de Benefícios;Setor SCS Quadra 02, Bloco C, Sala 301, ;92;;Setor Comercial Sul;Brasília;DF;70302908;61;982080903;;saudebrasilia2@gmail.com;EDILAMAR LIMA DA SILVA;Administradora ;2021-03-26
420905;7700000000000;ESTALEIRO ATLÂNTICO SUL S/A;;Autogestão;OTR ILHA DE TATUOCA;S/N;Complexo Ind Portuário Gov Eraldo Gueiro;IPOJUCA;Ipojuca;PE;55590000;81;32243358;;marconi.souza@easbr.com;MARCONI SOARES DE SOUZA;GERENTE DE SMS;2017-04-18
417441;1860000000000;EV ADMINISTRADORA DE BENEFÍCIOS LTDA;;Administradora de Benefícios;RUA ELIEZER LEVY;2745;;TREM;Macapá;AP;68901016;91;32421016;32244459;ev.corretora@uol.com.br;VERA MARIA RESQUE VIEIRA ATHIAS;SÓCIO-ADMINISTRADOR;2010-07-16
401480;2990000000000;EVANGELICO SAUDE LTDA.;MEDSUL SAUDE;Medicina de Grupo;RUA SALDANHA MARINHO;2250;;BIGORRILHO;Curitiba;PR;80730180;41;30234442;30234442;diretoria@medsulsaude.com.br;ROMILDO NUNES FERREIRA;ADMINISTRADOR;1999-03-04
410179;30100000000000;EVERCROSS PLANEJAMENTO DE ASSISTÊNCIA MÉDICA LTDA.;;Medicina de Grupo;RUA BARATA RIBEIRO;543;SALA 1104;COPACABANA;Rio de Janeiro;RJ;22040001;21;25394142;25394083;contato@evercross.com.br;ALEXANDRE CLEMENTE CHAME;ADMINISTRADOR;1999-12-09
418048;12700000000000;EVON ADMINISTRADORA DE BENEFÍCIOS LTDA;EVON ADMINISTRADORA DE BENEFÍCIOS;Administradora de Benefícios;RUA FRANCISCO TRAMONTANO;101;SALA 1104;BAIRRO REAL PARK;São Paulo;SP;5686010;61;32553000;32553030;jorge.vidote@evonsaude.com.br;JORGE VIDOTE ESLAVA;ADMINISTRADOR;2011-05-05
421642;31800000000000;EXCELÊNCIA PLANO DE SAÚDE S/A;;Medicina de Grupo;Rua Castelo Branco;676;;Praia da Costa;Vila Velha;ES;29101480;27;998660566;;jumarcanedo@gmail.com;FLÁVIO FIGUEIREDO DELUIGGI;DIRETOR PRESIDENTE;2019-04-16
416282;7890000000000;E.X.M BRASIL SAÚDE LTDA;AMEX SAÚDE;Medicina de Grupo;AV. TANCREDO NEVES;620;EDIF. MUNDO PLAZA, SALA 2310 A 2315;CAMINHO DAS ÁRVORES;Salvador;BA;41820020;71;30323900;33415752;amexsaude@amexsaude.com.br;LUCIVAL OLIVEIRA  ALVES;REPRESENTANTE LEGAL;2007-07-30
414204;1750000000000;EXTRAMED ADMINISTRAÇÃO E SERVIÇOS MÉDICOS LTDA;EXTRAMED;Administradora de Benefícios;RUA DESEMBARGADOR CLOTARIO PORTUGAL;243;;ALTO SAO FRANCISCO;Curitiba;PR;80410220;41;30688728;30688714;extramed@extramed.com.br;ILEANA MARIA IGLESIAS TEIXEIRA MOURA;DIRETORA PRESIDENTE;2001-08-28
411868;3550000000000;EXTREMAMEDIC PLANOS DE SAÚDE LTDA;;Medicina de Grupo;RUA ALCEBIADES WOLHERS;2;;JARDIM SÃO CRISTOVÃO ;Extrema;MG;37640000;35;34353114;34353114;extremamedic@extremamedic.com.br;SEBASTIÃO ANTONIO CAMARGO ROSSI;ADMINISTRADOR;2000-08-04
415626;7270000000000;FEDERAÇÃO DAS COOP ODONTOLÓGICAS DO ESTADO DE SANTA CATARINA;UNIODONTO CATARINENSE;Cooperativa odontológica;RUA JOAO PESSOA;10;CASA;VELHA;Blumenau;SC;89036000;47;30418070;30418070;cpd@uniodontosc.com.br;RUBENS RENATO WEIDGENANT;SUPERINTENDENTE;2006-05-11
313971;84100000000000;FEDERAÇÃO DAS SOCIEDADES COOPERATIVAS DE TRABALHO MÉDICO DO ACRE, AMAPÁ, AMAZONAS, PARÁ, RONDONIA E RORAIMA;FAMA;Cooperativa Médica;RUA RIO AMAPA;374;CJ VIEIRA ALVES;NOSSA SRA DAS GRAÇAS;Manaus;AM;69053150;92;33038002;32330416;contabilidade@unimedfama.com.br;EMANOEL GLEDESTON DANTAS LICARIÃO;PRESIDENTE;1998-12-21
344583;1180000000000;FEDERAÇÃO DAS UNIODONTOS DO ESTADO DE MINAS GERAIS;UNIODONTO MG;Cooperativa odontológica;AVENIDA FRANCISCO SALES;1463;4º ANDAR - SALA 401;SANTA EFIGÊNIA;Belo Horizonte;MG;30150221;31;32415521;;uniodontomg@uniodontomg.com.br;RICARDO MANOEL LOURENÇO;PRESIDENTE;1998-12-16
410888;3640000000000;FILOSANITAS SAUDE LTDA;SANTA FILOMENA SAUDE;Medicina de Grupo;AVENIDA VISCONDE DO RIO CLARO;1551;;CENTRO;Rio Claro;SP;13500505;19;35334200;35334200;filosanitas@santafilomena.com.br;LAFAYETTE PARREIRA DUARTE;DIRETOR ADMINISTRATIVO;2000-03-03
419818;9030000000000;FR PLANO ODONTOLÓGICO LTDA;LODONTO ESPAÇO DO SORRISO;Odontologia de Grupo;RUA EULÁLIA SILVA;138;3º ANDAR;JARDIM FACULDADE;Sorocaba;SP;18030230;12;34263335;;MRMAGACHO@IG.COM.BR;MAURICIO RICCIOPPO MAGACHO;SóCIO ADMINISTRADOR;2015-07-14
370592;2620000000000;FUNASA SAÚDE;FUNASA SAÚDE;Medicina de Grupo;AV.EPITÁCIO PESSOA;1250;SL408 E OUTRAS;TORRE;João Pessoa;PB;58039040;83;32430911;32444220;diretoria@funasasaude.com.br;DANIELITA PINTO DE MORAIS;PRESIDENTE;1998-12-28
315567;661000000000;FUNDAÇÃO AFFEMG DE ASSISTÊNCIA E SAÚDE - FUNDAFFEMG;FUNDAFFEMG;Autogestão;RUA SERGIPE;893;;FUNCIONÁRIOS;Belo Horizonte;MG;30130171;3;121035858;121035890;fundaffemg@fundaffemg.com.br;MUNIR NACIF MITRE;DIRETOR PRESIDENTE;1998-12-21
346926;628000000000;FUNDAÇÃO ASSISTENCIAL DOS SERVIDORES DO MINISTÉRIO DA FAZENDA;FUNDAÇÃO ASSISTENCIAL DOS SERVIDORES DO MINISTÉRIO DA FAZENDA;Autogestão;SCS QD. 4 BLOCO A ED. ASSEFAZ;1;;ASA SUL;Brasília;DF;70304908;61;32180100;32180105;assefaz@assefaz.org.br;GILDENORA BATISTA DANTAS MILHOMEM;PRESIDENTE;1998-12-16
315044;83000000000000;FUNDAÇÃO CELESC DE SEGURIDADE SOCIAL - CELOS;FUNDAÇÃO CELESC;Autogestão;AV. HERCILIO LUZ;639;7 ANDAR;CENTRO;Florianópolis;SC;88020000;48;32219510;32219510;dvrs@celos.com.br;REGIANE MARIA DE FARIAS;Gerente de Gestão Assistencial;1998-12-21
315478;62500000000000;FUNDAÇÃO CESP;VIVEST;Autogestão;ALAMEDA SANTOS;2477;10 º ANDAR;CERQUEIRA CESAR;São Paulo;SP;1419907;11;30683100;30683049;saude@vivest.com.br;WALTER MENDES DE OLIVEIRA FILHO;DIRETOR PRESIDENTE;1998-12-29
317233;42200000000000;FUNDAÇÃO CHESF DE ASSISTÊNCIA E SEGURIDADE SOCIAL;FACHESF;Autogestão;PRAÇA CHORA MENINO;58;;BOA VISTA;Recife;PE;50070210;81;34127555;;ans@fachesf.com.br;HELDER ROCHA FALCÃO;PRESIDENTE;1998-12-24
307751;12600000000000;FUNDAÇAO COMPESA DE PREVIDENCIA E ASSISTENCIA - COMPESAPREV;COMPESAPREV;Autogestão;RUA AUGUSTO RODRIGUES;60;;TORREÃO;Recife;PE;52030180;81;33662434;33662422;compesaprev@compesaprev.com.br;ALEXANDRE ARAUJO DE MORAES;DIRETOR PRESIDENTE;1998-12-28
355151;75100000000000;FUNDAÇÃO COPEL DE PREVIDÊNCIA E ASSISTÊNCIA SOCIAL;FUNDAÇÃO COPEL;Autogestão;RUA TREZE DE MAIO;616;;SÃO FRANCISCO;Curitiba;PR;80510030;41;38836000;38836018;ans@fcopel.org.br;OTTO ARMIN DOETZER;DIRETOR DE SEGURIDADE;1998-12-29
420701;25100000000000;FUNDAÇÃO DE ASSISTÊNCIA À SAÚDE DA ASSOCIAÇÃO DO MINISTÉRIO PÚBLICO DO RIO GRANDE DO SUL;FAS/AMP/RS;Autogestão;AV. AURELIANO DE FIGUEIREDO PINTO;501;;PRAIA DE BELAS;Porto Alegre;RS;90050191;51;32241221;;contato@fasamprs.com.br;CLAUDIO BONATTO;DIRETOR PRESIDENTE;2017-01-27
339636;398000000000;FUNDAÇÃO DE ASSISTÊNCIA E PREVIDÊNCIA SOCIAL DO BNDES;FUNDAÇÃO DE ASSISTÊNCIA E PREVIDÊNCIA SOCIAL DO BNDES;Autogestão;AV REPÚBLICA DO CHILE;230;5º, 8º E 9º  ANDAR;CENTRO;Rio de Janeiro;RJ;20031170;21;38205200;;fernanda.farias@fapes.com.br;RODOLFO TORRES DOS SANTOS;DIRETOR ;1998-12-24
309362;470000000000;FUNDAÇÃO DE PREVIDÊNCIA DOS EMPREGADOS DA CEB;FACEB;Autogestão;SCS QD 04 LOTE;143;;ASA SUL;Brasília;DF;70304905;61;33120201;32235737;faceb@faceb.com.br;THIAGO CAVALCANTE SANTOS;REPRESENTANTE ;1998-12-28
311359;304000000000;FUNDAÇÃO DE SAÚDE ITAIGUAPY;HOSPITAL MINISTRO COSTA CAVALCANTI - PLANO DE SAÚDE ITAMED;Medicina de Grupo;AV. GRAMADO;580;;VILA 'A';Foz do Iguaçu;PR;85860460;45;35768011;35768060;diretoria@hmcc.com.br;FERNANDO COSSA;DIRETOR SUPERINTENDENTE;1998-12-23
330809;31800000000000;FUNDAÇÃO DE SEGURIDADE SOCIAL DA ARCELORMITTAL BRASIL - FUNSSEST;FUNSSEST;Autogestão;AV. BRIGADEIRO EDUARDO GOMES;526;POLO INDUSTRIAL TUBARÃO;SERRA;Serra;ES;29160904;27;33481210;33282245;funssest@arcelormittal.com.br;CARLOS RENATO DOS SANTOS DA PENHA;DIR. DE SEGURIDADE E ADMINISTR;1998-12-29
418285;12800000000000;FUNDAÇÃO FIAT SAÚDE E BEM ESTAR;STELLANTIS SAUDE MG;Autogestão;AV. CONTORNO;3455; GALPãO 6, 2º ANDAR, PARTE A;PAULO CAMILO;Betim;MG;32669900;31;34023812;;ans@fundacaofiat.com.br;CRISTIANE DE OLIVEIRA ROQUE PAIXÃO;REPRESENTANTE LEGAL;2011-11-10
323942;26200000000000;FUNDAÇÃO FILANTRÓPICA E BENEFICENTE DE SAÚDE ARNALDO GAVAZZA FILHO;HOSPITAL ARNALDO GAVAZZA FILHO;Filantropia;AV. DR. JOSE GROSSI;16;;GUARAPIRANGA;Ponte Nova;MG;35430213;31;38195000;38195001;hagf@gavazza.com.br;LUCIMAR REGINA DE OLIVEIRA FONSECA;SUPERINTENDENTE EXECUTIVO ADJ;1998-12-30
410292;60500000000000;FUNDACAO LEONOR DE BARROS CAMARGO;FUNDACAO LEONOR DE BARROS CAMARGO;Filantropia;AV.SAO GABRIEL ;201;16.ª ANDAR CONJ. 1606;JARDIM PAULISTA;São Paulo;SP;1435001;11;38018200;38018200;haoc.idt@terra.com.br;RENATO SARGO;SUPERINTENDENTE;1999-12-20
378216;20100000000000;FUNDAÇÃO LIBERTAS DE SEGURIDADE SOCIAL;FUNDAÇÃO LIBERTAS;Autogestão;AV. ÁLVARES CABRAL;200;8º ANDAR;CENTRO;Belo Horizonte;MG;30170000;31;21113700;21113687;geas@fundacaolibertas.com.br;LUCAS FERRAZ NOBREGA;DIRETOR PRESIDENTE;1998-12-28
418501;14400000000000;FUNDAÇÃO PLAMHUV - PLANO MÉDICO HOSPITALAR DOS HOSPITAIS UNIDOS DE VIÇOSA;PLAMHUV;Medicina de Grupo;TRAVESSA DR. FELÍCIO BRANDI;22;LOJA 01 - ED REGINA LOPES DOS SANTOS;CENTRO;Viçosa;MG;36570000;31;38911800;38911800;plamhuv@plamhuv.com.br;ILDAMARA GANDRA DE MENEZES;REPRESENTANTE LEGAL;2012-05-03
338648;77400000000000;FUNDAÇÃO SANEPAR DE ASSISTÊNCIA SOCIAL;FUNDAÇÃO SANEPAR DE ASSISTÊNCIA SOCIAL;Autogestão;RUA ÉBANO PEREIRA;309;EDIFICIO FUSAN;CENTRO;Curitiba;PR;80410240;41;33079191;33079199;claudia@fusan.com.br;CLÁUDIA TRINDADE;DIRETORA PRESIDENTE;1998-12-17
339954;19900000000000;FUNDAÇÃO SÃO FRANCISCO XAVIER;HOSPITAL MÁRCIO CUNHA;Filantropia;AV. KIYOSHI TSUNAWAKI;41;;BAIRRO DAS ÀGUAS;Ipatinga;MG;35160158;31;38299050;38251264;usisaude@fsfx.com.br;SALVADOR PRADO JUNIOR;DIRETOR PRESIDENTE;1998-12-16
312126;73800000000000;FUNDAÇÃO SAÚDE ITAÚ;FUNDAÇÃO SAÚDE ITAÚ;Autogestão;RUA CURITIBA;689;11º ANDAR;CENTRO;Belo Horizonte;MG;30170120;11;27331727;;marcelo.leao@itau-unibanco.com.br;MARCELO TEIXEIRA LEÃO;REPRESENTANTE;1998-12-17
414689;4840000000000;FUNDO DE ASSISTÊNCIA À SAÚDE DOS FUNCIONÁRIOS DO BEC;FAMED;Autogestão;RUA ANTONIO AUGUSTO;1271;SL 301;ALDEOTA;Fortaleza;CE;60110370;85;32521826;32521118;saudefamed@gmail.com;JOSÉ EDMAR LIMA MELO;PRESIDENTE;2003-10-17
418129;13000000000000;FUNDO DE ASSISTÊNCIA MÉDICO-HOSPITALAR DO MINISTÉRIO PÚBLICO;FAMEH/MP;Autogestão;RUA MENDEL;306;SALA 1;CARANDÁ BOSQUE I;Campo Grande;MS;79032320;67;33263882;;fameh.mp@fameh.org.br;EDGAR ROBERTO LEMOS DE MIRANDA;DIRETOR PRESIDENTE;2011-07-13
409286;68700000000000;G & M ASSESSORIA MEDICA EMPRESARIAL LTDA - EPP;LIFE LAGOS SAUDE;Medicina de Grupo;AVENIDA SÃO PEDRO ;455;;ESTAÇÃO ;São Pedro da Aldeia;RJ;28940000;2;226211165;226211165;administracao@lifelagos.com.br;TERESINHA GOMES DA SILVA;SOCIA GERENTE;1999-10-22
407011;2010000000000;GAMA SAUDE LTDA.;GAMA SAUDE LTDA.;Medicina de Grupo;ALAMEDA XINGU;512;17 ANDAR, SALA 1704;ALPHAVILLE CENTRO INDUSTRIAL E;Barueri;SP;6455030;11;33368624;41977862;juridico.gama@gamasaude.com.br;LILIANE APARECIDA PACE SOUZA;DIRETORA MÉDICA;1999-08-03
343064;45600000000000;GARANTIA DE SAÚDE LTDA;GARANTIA DE SAÚDE;Medicina de Grupo;RUA AMÉRICO GOMES DA COSTA;114;;VILA AMERICANA;São Paulo;SP;8010120;11;20588500;;demandainicial.ans@garantiasaude.com.br;JOSE KRAUTHAMER;DIRETOR;1998-12-22
419931;10500000000000;GEAC - GERENCIAMENTO EMPRESARIAL LTDA;;Administradora de Benefícios;RUA DOM PEDRO II;54;SALA 506;CENTRO;Santos;SP;11010080;13;32335351;;joaobolzan@uol.com;JOÃO BOLZAN NETO;ADMINISTRADOR;2015-10-28
323080;3660000000000;GEAP AUTOGESTÃO EM SAÚDE;GEAP;Autogestão;TERRAÇO SHOPPING SHC-AO SUL, EA 02/08 LO;5;TR.B 3º ANDAR;OCTOGONAL SUL;Brasília;DF;70660900;61;21034569;;ans@geap.com.br;RICARDO MARQUES FIGUEIREDO;DIRETOR PRESIDENTE;1998-12-22
423076;43600000000000;GESTÃO ADMINISTRADORA DE PLANOS DE SAUDE LTDA;;Administradora de Benefícios;RUA DO CARMO;8;PAVIMENTO 11;CENTRO;Rio de Janeiro;RJ;20011020;21;979380200;;thiago@unimedicasaude.com;ALOIZIO SANTOS DE MOURA JUNIOR ;SOCIO ADMINISTRADOR;2021-10-26
417262;10900000000000;GESTÃO SERVIÇOS DE INTERMEDIAÇÃO, AGENCIAMENTO E NEGÓCIOS LTDA;GESTÃO;Administradora de Benefícios;AV PRUDENTE DE MORAIS;744;COND EMP GIOVANNI FULCO 7º ANDAR SALA 71;TIROL;Natal;RN;59020510;84;30262800;;ANS@GESTAOSAUDE.ADM.BR;FERNANDO HENRIQUE AZEVEDO DE FREITAS;SÓCIO ADMINISTRADOR;2010-05-14
416819;58500000000000;GKN DO BRASIL LTDA;;Autogestão;RUA JOAQUIM SILVEIRA;557;PARQUE SAO SEBASTIAO;PASSO DA MANGUEIRA;Porto Alegre;RS;91060320;51;33499491;33499210;claudio.raiter@gkndriveline.com;CLAUDIO FERNANDO CIPOLATTI RAITER;DIRETOR DE RH;2009-01-16
422258;31100000000000;GLOBAL ADMINISTRADORA DE BENEFÍCIOS LTDA;GLOBAL ADMINISTRADORA DE BENEFÍCIOS LTDA;Administradora de Benefícios;R Doutor Pedro Correia;5;Sala 09;Centro;Arapiraca;AL;57300400;82;996964041;;antonioneto.asrn@gmail.com;ANTONIO SOARES RODRIGUES NETO;Administrador;2020-08-04
422681;40200000000000;GO CARE PLANOS DE SAUDE EIRELI;;Medicina de Grupo;RUA ERASMO BRAGA;1175;;JARDIM CHAPADAO;Campinas;SP;13070147;19;31992588;;presidencia@gocaresaude.com.br;TÂNIA MARA MACHADO;sócia administradora;2021-03-04
305995;65100000000000;GOOD LIFE SAUDE LTDA;GOODLIFE;Medicina de Grupo;AVENIDA TEOTÔNIO PARREIRA COELHO;860;;INGÁ ALTO;Betim;MG;32604376;3;135165100;135165131;diretoria@goodlife.com.br;UBIRAJARA BARROS TEIXEIRA;DIRETOR PRESIDENTE;1998-12-23
309222;31900000000000;GRUPO HOSPITALAR DO RIO DE JANEIRO LTDA;ASSIM SAÚDE;Medicina de Grupo;AV. PRESIDENTE VARGAS ;914;LOJAS A e B, salas 310,410,510,610,710;CENTRO;Rio de Janeiro;RJ;20071001;21;21029781;21029722;assim@assim.com.br;CÉSAR ROBERTO MIRANDA RODRIGUES;DIRETOR FINANCEIRO;1998-12-18
413160;4170000000000;GS PLANO GLOBAL DE SAÚDE LTDA;GS;Medicina de Grupo;RUA FERNANDO BIZZOTO;90;A;CENTRO;Nova Friburgo;RJ;28613040;22;25226902;25226902;planogs@planogs.com.br;JOSÉ CARLOS VERBICÁRIO DANTAS DOS SANTOS JÚNIOR;DIRETOR ADMINISTRATIVO;2001-02-16
419443;16700000000000;G2C ADMINISTRADORA DE BENEFICIOS LTDA - ME;;Administradora de Benefícios;RUA DA ASSEMBLEIA ;10;SALAS 2001 A 2003;CENTRO;Rio de Janeiro;RJ;20011000;21;35531692;;juridico@g2cadministradora.com.br;SERGIO BASTOS GUIMARÃES;ADMINISTRADOR;2014-08-13
419834;22100000000000;HALSA OPERADORA DE MEDICINA DE GRUPO LTDA;GH SAUDE OPERADORA DE MEDICINA DE GRUPO;Medicina de Grupo;AVENIDA TANCREDO NEVES;620;EDIFíCIO MUNDO PLAZA, SALA 715;CAMINHO DAS ARVORES;Salvador;BA;41820020;71;30321414;;MATCONSULTORES@GMAIL.COM;MARCO ANTONIO TORRES;SÓCIO ADMINISTRADOR;2015-07-14
422444;37200000000000;HAPPYMED PLANO DE SAÚDE LTDA;HAPPYMED;Medicina de Grupo;RUA SAO JORGE;25;SALA 02;CENTRO;Florianópolis;SC;88015320;48;37710400;;grc@happymed.com.br;RAPHAEL HENRIQUE MENEGUETTI;Presidente;2020-10-02
368253;63600000000000;HAPVIDA ASSISTENCIA MEDICA S.A.;HAPVIDA;Medicina de Grupo;AV HERÁCLITO GRAÇA;406;2º ANDAR;CENTRO;Fortaleza;CE;60140060;85;32559189;;cians@hapvida.com.br;FABIO LUCIANO GOMES SELHORST;VICE-PRESIDENTE DE ASSUNTOS CORPORATIVOS;1998-12-17
350249;2670000000000;H.B. SAÚDE S/A.;HB SAÚDE;Medicina de Grupo;AV. JOSÉ MUNIA;6250;;JARDIM DAS VIVENDAS;São José do Rio Preto;SP;15090275;17;40096700;40096711;hbsaude@hbsaude.com.br;FRANCISCO GARCIA PARRA;REPRESENTANTE;1998-12-16
414352;5010000000000;HBC SAÚDE LTDA.;HBC SAÚDE;Medicina de Grupo;RUA TAPAJÓS;289;;JARDIM BARBOSA;Guarulhos;SP;7111340;11;24423344;26032177;controladoria@hbcsaude.com.br;FABIO FARINELLI;REPRESENTANTE LEGAL;2002-08-06
417611;10800000000000;HEALTH ADMINISTRADORA DE BENEFICIOS LTDA;;Administradora de Benefícios;RUA CONCEIÇÃO DE MONTE ALEGRE;198;CONJ 91 - 9º ANDAR;BROOKLIN PAULISTA;São Paulo;SP;4563060;11;37772470;;health@healthbr.com.br;ARNALDO DA SILVA CESAR COUTINHO;ADMINISTRADOR;2010-11-04
421723;27000000000000;HEALTH-MED SISTEMA DE SAUDE LTDA;HEALTH-MED;Medicina de Grupo;AVENIDA RIO BRANCO;125;15º ANDAR;CENTRO;Rio de Janeiro;RJ;20040006;21;22211133;;ricardo.mello@healthmedsaude.com.br;MARIA GERALDINE COUCEIRO;SOCIA ADMINISTRADORA;2019-04-30
